fecha,index,Dia juliano,U,TA1,HR1,TA3,HR3,TA4,HR4,RG,e0,ea,Ra,Rnc,RS0,Tmin,Tmax,Rnl
2018-04-12,4620.5,102.0,0.8064375,14.343125,65.36416666666668,14.422916666666666,10.22540625,14.541874999999997,65.0028125,150.39286458333336,1.673573258516808,1.0609765338823511,33.840098618674936,115.8025057291667,25.380073964006257,6.127999999999997,19.15000000000003,261724.82242720702
2018-04-13,4716.5,103.0,1.280635416666667,12.221979166666669,66.6086458333333,12.208302083333331,31.25270833333333,12.45148958333334,66.16260416666668,194.56417708333333,1.4785530289524493,0.9305437352068816,33.97264879103148,149.8144163541667,25.47948659327358,7.610999999999993,23.730000000000015,807539.2132209834
2018-04-14,4812.5,104.0,0.9794166666666667,13.520708333333337,73.37822916666667,13.238166666666666,54.49639583333333,13.7535625,72.80906250000005,151.18726041666665,1.6193648986078835,1.124861828674407,34.10020746499517,116.4141905208333,25.57515559874642,7.847999999999993,22.269999999999985,468660.89162382676
2018-04-15,4908.5,105.0,0.011291666666666667,16.613229166666667,75.77197916666667,16.702395833333338,59.265291666666684,16.841041666666666,75.34958333333331,186.63465625000015,1.983207695957791,1.4120868375238855,34.22281059611021,143.70868531249994,25.66710794708256,9.490000000000007,23.64000000000003,708968.5612234822
2018-04-16,5004.5,106.0,0.021677083333333333,18.648854166666666,80.29427083333331,18.8378125,58.848166666666685,18.869375,80.15833333333333,155.51838541666663,2.217829825878033,1.7289979100715085,34.34049871267231,119.74915677083335,25.755374034504218,5.302999999999998,24.670000000000034,652526.718406695
2018-04-17,5100.5,107.0,0.0,20.35791666666666,76.00864583333333,20.60854166666667,76.64666666666665,20.536562500000006,75.94718750000001,164.69678125000004,2.478486462441793,1.8076868893810403,34.45331683471806,126.81652156250003,25.83998762603855,13.14000000000001,27.84999999999995,1163103.2742837127
2018-04-18,5196.5,108.0,0.0,17.20427083333333,86.38229166666667,17.474791666666672,84.24177083333335,17.42104166666667,85.57187499999999,49.75559374999998,1.991568121796667,1.7051217952765239,34.56131438799216,38.3118071875,25.920985790994095,11.450000000000019,24.880000000000063,205233.9564174962
2018-04-19,5292.5,109.0,0.0,20.427604166666672,84.28541666666668,20.78260416666667,81.67833333333333,20.64822916666667,84.20354166666671,129.83121875000003,2.4560358317299467,2.0339277596735594,34.664545112941006,99.97003843749998,25.99840883470569,13.559999999999967,25.730000000000015,660313.1865882227
2018-04-20,5388.5,110.0,0.0,21.386875000000003,80.5240625,21.524166666666662,71.11500000000002,21.617500000000003,80.71427083333332,143.6483229166667,2.657026353489098,2.062402186881748,34.763066968786944,110.60920864583333,26.07230022659024,9.860000000000012,29.07999999999996,1098543.3331759057
2018-04-21,5484.5,111.0,0.0,19.67229166666667,85.35312500000002,19.78666666666666,84.98739583333334,19.90791666666667,85.40552083333331,174.5901145833334,2.3540715214107166,1.9821997271565455,34.85694203273453,134.43438822916667,26.14270652455089,6.1360000000000054,24.429999999999996,672517.6862603273
