fecha,index,Dia juliano_x,U,TA1,HR1,TA3,HR3,TA4,HR4,RG,e0,ea,Ra,Rnc,RS0,Tmin,Tmax,Rnl,u[m/s]         ,Ts[degC]       ,a[g/m3]        ,p_ref[hPa]     ,Var[u]         ,Var[Ts]        ,Var[a]         ,dir[deg]       ,ustar[m/s]     ,HTs[W/m2]      ,LvE[W/m2]      ,z/L            ,z/L-virt       ,Flag(ustar)    ,Flag(HTs)      ,Flag(LvE)      , r_err_ustar[%],   r_err_HTs[%],   r_err_LvE[%],T_min,T_max,es,Delta,e,epsilon,Rho_air,A,one,Ga_ustar,two,three,Rc,Gs,hour,month
2018-04-04,3866.5,94.0,5.60725,26.1325,45.3425,26.78,47.230000000000004,26.2075,46.3725,582.9499999999999,3.402984570372305,1.5778833918912172,32.597253038432136,448.8715,24.4479397788241,11.67,26.47,3764179.313905349,4.726632724999997,25.866386875,16.122542849999974,1007.87330625,1.86242125,0.303251225,0.11284992499999999,75.28627397499997,0.5285367999999998,134.13922309999998,160.2897109749995,-0.024292175,-0.025382550000000004,1.0,1.0,1.0,4.5408207,9.070702325,10.2508259,18.0543823,25.9581814,0.42974502294679984,0.02537737252200563,0.19486790517216435,0.3771276013455075,0.09612695645507974,294.42893407499946,7.472771799474952,0.049923932340065647,0.0,2.651701808039845,-96.4618804527916,0.000991969276184747,15.0,4.0
2018-04-05,3952.5,95.0,5.081333333333334,22.771250000000006,58.36875000000001,23.418333333333333,59.64583333333334,22.900833333333328,59.38666666666668,533.3708333333333,2.818528422951507,1.6429175274294883,32.77045818294502,410.69554166666666,24.577843637208744,9.610000000000005,26.459999999999997,3316710.8743651095,4.474124375,22.590062220833335,16.521236299999998,1010.7216899166665,1.8134644291666664,0.46178094166666656,0.24210005833333326,163.37636457083332,0.49302650416666655,139.26001691666661,146.2206327083333,-0.05711284583333325,-0.05985788749999987,1.1666666666666667,1.6666666666666667,1.2916666666666667,4.930597249999999,9.228920574999998,14.120986145833328,14.2315636,26.08458710000001,0.47607845051298536,0.02889090659718183,0.2804888462372889,0.4293414653642475,0.09722529938882035,285.48064962499996,8.073457967379534,0.04843220621761558,0.0,2.348444686637093,-80.09232948815087,0.00095404671815767,12.5,4.0
2018-04-06,4048.5,96.0,5.3308333333333335,15.487916666666672,53.19208333333332,15.729166666666666,53.759583333333346,15.649999999999997,52.70291666666666,168.48333333333332,1.7781470403671422,0.9369919150500214,32.93855683509606,129.73216666666667,24.70391762632205,5.938,22.37,562414.0201415282,4.662567395833333,15.019538833333327,9.986633783333334,1018.7685242083334,1.7101583416666661,0.022488587499999994,0.05379902916666667,235.45699118749994,0.5378960666666665,29.757799933333327,56.11407994166665,-0.005144695833333332,-0.005592445833333332,1.0,3.0,1.0416666666666667,3.575473974999999,8.595888075,13.951982024999984,13.679529199999996,16.021104799999993,0.5935651767352015,0.0380655788669192,0.3157544898029853,0.56568427008987,0.09967200971546347,85.87187987499999,3.2652566505666267,0.05443581903358959,0.0,1.7678708070968805,-62.60331573997428,0.002319300544210249,12.5,4.0
2018-04-07,4144.5,97.0,0.8232916666666665,18.569583333333338,71.06750000000001,19.247916666666665,71.04875,18.759166666666665,71.44708333333332,448.6083333333334,2.1660379865415043,1.5438311392658723,33.10154606804691,345.4284166666667,24.82615955103518,8.539999999999994,26.37,2742298.5577290533,2.694260895833333,18.574568275,15.444600583333324,1014.7240727916668,0.7281154541666663,0.48627057083333286,0.14007700833333328,222.16278585,0.3236725541666666,129.5735178791666,122.60014310833337,-0.11262484166666657,-0.11563581666666661,1.0,1.0,1.1666666666666667,5.780316983333332,10.260272429166665,12.954298416666665,11.6468878,19.39673420000001,0.5392187399062979,0.03375614834579365,0.38371463466629047,0.5016427624756392,0.09861954468261468,252.17366098749986,8.458696583690221,inf,0.0,1.9947202305539633,-65.15044916398197,0.00013772502517608602,12.5,4.0
2018-04-08,4240.5,98.0,1.1468749999999999,19.700416666666666,72.80041666666666,20.368333333333336,72.69250000000004,19.860833333333332,73.24166666666667,425.7875000000001,2.338069925842671,1.6688463035865866,33.259427990282795,327.856375,24.944570992712098,9.879999999999997,22.779999999999987,1453038.8166970946,2.894866779166666,20.062542991666664,22.889476062499995,1017.5173415833334,0.7720018166666663,0.3113370791666666,4.063664083333335,63.946204037499996,0.32896499583333333,105.04146876666663,118.13311164166664,-0.0766796249999999,-0.07954721666666666,1.0,1.4166666666666667,1.7083333333333333,5.6370369291666655,10.137699645833333,22.324877495833334,9.300929099999996,22.535881000000003,0.5223316171621671,0.032457775537805184,0.38548974118763923,0.4823479271925803,0.09824441301824938,223.1745804083333,7.269575503387493,inf,0.0,2.089724970246127,-71.52398105635665,0.00020444043826780122,12.5,4.0
2018-04-10,4437.545454545455,100.0,0.0,22.735454545454544,81.95181818181817,22.80636363636364,83.5,22.849999999999998,82.33,104.00363636363635,2.784396525865603,2.2922147612039963,33.55990327092587,80.0828,25.169927453194408,15.0,26.29,589373.9283703027,1.659821063636363,23.302401954545452,20.652894200000002,1005.613320090909,0.2817240999999999,0.006519618181818182,4.149728918181817,98.33628429090909,0.19135068181818174,1.692512745454546,1.1408194272727379,-0.01574132727272727,-0.003876718181818184,1.1818181818181819,3.3636363636363638,4.545454545454546,6.0954861909090905,32.0065976090909,130.33343298181805,19.964683500000003,24.13781549999999,0.4750511655923257,0.02879110484374896,0.3893369982026181,0.42785833326104883,0.09723066480618753,2.8333321727272844,0.07504577704022514,inf,0.0,2.3375307714877773,-98.00009513259941,0.0,13.727272727272727,4.0
2018-04-11,4523.0,101.0,0.0,18.612307692307695,89.57692307692308,18.851538461538457,52.86076923076923,18.834615384615386,88.63076923076923,52.910923076923076,2.1751626160096973,1.9282477113844203,33.70252564107842,40.741410769230775,25.27689423080881,13.210000000000006,22.69,162402.8791134578,3.3065864769230773,18.914160515384616,15.530893484615376,1004.9515474615384,0.9634280846153843,0.004267007692307684,2.316883723076923,275.9139709538462,0.37433321538461534,-6.531409961538462,67.24435439230768,0.003122569230769231,7.793076923077743e-05,1.0,3.1538461538461537,3.076923076923077,5.1451346,43.77341771538459,62.903125461538394,14.700015099999897,22.6144047,0.5383988652762629,0.03369026799401695,0.48224068666324216,0.5006637289283401,0.09860470947983249,60.712944430769234,2.0384274027110445,inf,0.0,1.9976041154810793,-85.91857126084832,0.0,11.153846153846153,4.0
2018-06-05,9808.5,156.0,2.8274999999999992,9.298250000000001,67.11041666666665,9.706541666666666,68.20208333333333,9.511541666666668,66.65124999999999,277.97083333333336,1.191421916634771,0.7869300898221523,35.81904769291122,214.03754166666667,26.864285769683416,3.5540000000000007,17.040000000000003,296304.5664598923,2.5074557874999996,9.030450154166665,10.330593741666656,1020.2767995416667,0.5454594833333334,0.1747597666666666,0.08598504166666661,33.485681241666654,0.2841521833333334,54.78913597083332,83.93122021249997,-0.06579994999999998,-0.0700279625,1.0,1.7083333333333333,1.0416666666666667,5.332919295833333,12.424808779166662,12.4588198,2.8987665000000002,10.083146099999995,0.7260796927977782,0.04895148707012292,0.4896724605405667,0.7274573790112799,0.10185790087093345,138.72035618333322,6.800215829456373,0.0288374699829821,0.0,1.3777834779144111,-42.62816273873088,0.0006203355840824256,12.5,6.0
2018-06-06,9904.5,157.0,4.956916666666666,11.544041666666667,69.37708333333333,11.931083333333333,70.38333333333333,11.729249999999999,69.12625,344.2375,1.3913049121348717,0.9423709711696331,35.807299012374216,265.062875,26.855474259280655,2.0039999999999996,14.470000000000008,187285.12916499327,4.339624079166666,11.40712888333333,11.806516045833328,1008.3861286666669,1.4109635249999997,0.18320366249999986,0.05113996249999994,75.57344912916666,0.4715000583333333,70.10168125833329,84.01898622916666,-0.016628875,-0.017597195833333325,1.0,2.0416666666666665,1.0,4.5275213124999985,11.46646639166667,9.78500944583333,1.5712867000000008,13.430844299999995,0.6761628409641743,0.04482489523689167,0.47457011490127393,0.6661329972830694,0.1010594054180821,154.12066748749996,6.763115537536137,0.045046033135770706,0.0,1.5146544168057972,-48.48689668135807,0.001127368517325475,12.5,6.0
2018-06-07,10000.5,158.0,6.882750000000001,9.788333333333332,67.03625000000001,10.066250000000002,68.82125,10.014583333333333,66.95791666666666,316.2041666666667,1.2299511501013274,0.822466812719216,35.79569774702938,243.47720833333335,26.84677331027204,4.47,10.759999999999998,55029.24208336161,5.916654300000001,9.322792887499999,10.413473883333326,1010.7028657083332,2.802885833333333,0.10017028333333328,0.2634969083333334,347.5997403458332,0.6625701791666665,41.28180785416665,140.31459966666665,-0.0038007874999999997,-0.004516308333333332,1.0833333333333333,2.5833333333333335,1.375,3.8079180708333316,15.540899837499998,11.326569658333332,3.777529000000001,10.076956700000004,0.7138720338870401,0.04792178887674633,0.4789102018389097,0.7121552586108645,0.10168019624701403,181.59640752083328,8.680610323444004,0.06444879717951622,0.0,1.4049626499895893,-53.841159473168766,0.0010095279460913837,12.5,6.0
