fecha,u[m/s]         ,p_ref[hPa]     ,Ts[degC]       ,ea,Rnc,Rnl,Year,t
2018-04-04,3.722964438888889,1007.7590383888892,21.777671333333338,1.6590730831888414,107.96501527777778,875548.0054574113,2018,94.0
2018-04-05,3.606849738541665,1011.5537447187502,18.030715418749992,1.4501307209512306,125.847308125,991698.1842544246,2018,95.0
2018-04-06,4.521488797916667,1017.9699606041667,14.836032876041658,1.0423812695940775,39.671699374999996,156676.1773588191,2018,96.0
2018-04-07,2.256151776041666,1014.8160343645832,16.278514604166666,1.5017161548023548,113.49352437499994,874797.4124753334,2018,97.0
2018-04-08,1.791216530208333,1016.9088128333337,16.35926359166666,1.5246402589113703,95.98967583333327,409690.47024791106,2018,98.0
2018-04-09,2.3788323520833337,1013.7705275416669,18.570455049999996,1.75761146897658,95.17811989583329,,2018,
2018-04-10,1.901609882291667,1005.9300721875002,21.80478190520834,2.1830842426374457,31.66000979166667,209120.141412711,2018,100.0
2018-04-11,2.013778660416666,1005.062439635417,18.98138458854167,1.8919210730467826,12.2312334375,32995.998358571,2018,101.0
2018-04-12,3.6303671,1009.94552625,14.868750574999975,1.0609765338823511,115.8025057291667,261724.82242720702,2018,102.0
2018-04-13,,,,0.9305437352068816,149.8144163541667,807539.2132209834,2018,103.0
2018-04-14,,,,1.124861828674407,116.4141905208333,468660.89162382676,2018,104.0
2018-04-15,,,,1.4120868375238855,143.70868531249994,708968.5612234822,2018,105.0
2018-04-16,,,,1.7289979100715085,119.74915677083335,652526.718406695,2018,106.0
2018-04-17,,,,1.8076868893810403,126.81652156250003,1163103.2742837127,2018,107.0
2018-04-18,,,,1.7051217952765239,38.3118071875,205233.9564174962,2018,108.0
2018-04-19,,,,2.0339277596735594,99.97003843749998,660313.1865882227,2018,109.0
2018-04-20,,,,2.062402186881748,110.60920864583333,1098543.3331759057,2018,110.0
2018-04-21,,,,1.9821997271565455,134.43438822916667,672517.6862603273,2018,111.0
2018-04-22,,,,2.121636002828859,38.908340625,142785.54936629816,2018,112.0
2018-04-23,,,,1.6276170628370936,74.86341041666668,183854.49270898066,2018,113.0
2018-04-24,,,,1.3696844377586315,57.487614479166645,112103.22886683424,2018,114.0
2018-04-25,,,,1.8632489282891067,63.10255072916669,238316.05690922038,2018,115.0
2018-04-26,,,,1.9470271482851567,20.792695,49964.399705832126,2018,116.0
2018-04-27,,,,1.8124869892116011,10.099852446808514,17491.986651982315,2018,117.0
2018-04-28,,,,1.2533540718503595,82.22644718749997,371245.55554591847,2018,118.0
2018-04-29,,,,1.5984558217945228,29.653630416666672,57324.420980857685,2018,119.0
2018-04-30,,,,1.1135548172059029,106.64734208333334,175979.27474961395,2018,120.0
2018-05-01,,,,0.9035065994276898,111.17531104166663,247666.18546228297,2018,121.0
2018-05-02,,,,1.4702232986471386,83.348986875,225163.02433828506,2018,122.0
2018-05-03,,,,1.6355650373425794,75.89164114583332,232830.39094734867,2018,123.0
2018-05-04,,,,1.2589708144011509,44.72842572916665,78032.13818145369,2018,124.0
2018-05-05,,,,0.9179235058089148,85.53503291666664,178659.07686490146,2018,125.0
2018-05-06,,,,1.5761375727975535,64.05241791666666,162549.75073892684,2018,126.0
2018-05-07,,,,1.6547588416491852,98.64007197916662,378231.79126376245,2018,127.0
2018-05-08,,,,1.809853162212575,40.21714010416666,92526.6670507641,2018,128.0
2018-05-09,,,,1.856771564124041,66.11287374999998,236858.23144846034,2018,129.0
2018-05-10,,,,1.6549641903594159,82.779571875,237127.80468636754,2018,130.0
2018-05-11,,,,1.4613490813892742,81.493383125,220891.71413877027,2018,131.0
2018-05-12,,,,0.9769211588366661,116.34617385416664,532038.8400389542,2018,132.0
2018-05-13,,,,1.053846828520751,107.44166927083326,169871.05524630524,2018,133.0
2018-05-14,,,,1.4368758935072456,32.94303031249999,41728.2866626631,2018,134.0
2018-05-15,,,,0.9474650923847859,107.09868239583335,215024.35128751106,2018,135.0
2018-05-16,,,,0.9093911004170372,74.83870624999999,231833.6199101021,2018,136.0
2018-05-17,2.0937337090909085,1015.0596683939394,9.453942148484845,0.9811586878149265,24.01580270833334,63132.16963820983,2018,137.0
2018-05-18,2.4638574968749993,1013.8302046770832,11.491377557291658,1.0653884601258057,38.540741555555556,67447.89050257584,2018,138.0
2018-05-19,4.62890790625,1018.4573517291665,12.05041425416666,,,,2018,139.0
2018-05-20,1.608368057291666,1016.8731874166664,11.608509616666666,,,,2018,140.0
2018-05-21,3.0059346854166655,1014.1806406250001,10.933699786458332,,,,2018,141.0
2018-05-22,2.5032385854166663,1017.4621938437499,8.115718067708329,,,,2018,142.0
2018-05-23,1.696719521874999,1020.1780866145837,7.801307046874995,,,,2018,143.0
2018-05-24,1.357706570833333,1021.8962841354164,7.784762095833332,,,,2018,144.0
2018-05-25,2.6722945447916664,1019.4821561874996,10.064899304166662,,,,2018,145.0
2018-05-26,2.8720894916666673,1015.4985199166662,10.967554718749989,,,,2018,146.0
2018-05-27,1.3029348041666657,1015.7811470208335,11.122001012500006,,,,2018,147.0
2018-05-28,1.9704591489583336,1010.2255084062499,14.882392652083327,,,,2018,148.0
2018-05-29,1.4413621864583328,1009.4254424270833,15.127437478124994,,,,2018,149.0
2018-05-30,3.3385667572916664,1015.6447640312491,12.896310269791657,,,,2018,150.0
2018-05-31,5.022892830526314,1021.5854390315791,10.835971678947365,,,,2018,151.0
2018-06-01,4.967181456249998,1022.2519728541665,9.296968173958328,,,,2018,152.0
2018-06-02,3.4862795468750005,1025.8301595208336,8.61296357708333,,,,2018,153.0
